@relation "restaurant-name"

@attribute name string
@attribute class {'439', '358', '277', '196', '359', '278', '197', '279', '198', '199', '600', '601', '520', '602', '521', '440', '603', '522', '441', '360', '604', '523', '442', '361', '280', '605', '524', '443', '362', '281', '606', '525', '444', '363', '282', '607', '526', '445', '364', '283', '608', '527', '446', '365', '284', '609', '528', '447', '366', '285', '529', '448', '367', '286', '449', '368', '287', '369', '288', '289', '0', '1', '2', '3', '4', '5', '6', '610', '7', '611', '530', '8', '612', '531', '450', '9', '613', '532', '451', '370', '614', '452', '371', '290', '615', '534', '453', '372', '291', '616', '535', '454', '373', '292', '617', '536', '455', '374', '293', '618', '537', '456', '375', '294', '619', '538', '457', '376', '295', '539', '458', '377', '296', '459', '378', '297', '379', '298', '299', '700', '701', '620', '702', '621', '540', '703', '622', '541', '460', '704', '623', '542', '461', '380', '705', '624', '543', '462', '381', '706', '625', '544', '463', '382', '707', '626', '545', '464', '383', '708', '627', '546', '465', '384', '709', '628', '547', '466', '385', '629', '548', '467', '386', '549', '468', '387', '469', '388', '389', '710', '711', '630', '712', '631', '550', '713', '632', '551', '470', '714', '633', '552', '471', '390', '715', '634', '553', '472', '391', '716', '635', '554', '473', '392', '717', '636', '555', '474', '393', '718', '637', '556', '475', '394', '719', '638', '557', '476', '395', '639', '558', '477', '396', '559', '478', '397', '479', '398', '399', '720', '721', '640', '722', '641', '560', '723', '642', '561', '480', '724', '643', '562', '481', '725', '644', '563', '482', '726', '645', '564', '483', '727', '646', '565', '484', '728', '647', '566', '485', '729', '648', '567', '486', '649', '568', '487', '569', '488', '489', '730', '731', '650', '732', '651', '570', '733', '652', '571', '490', '734', '653', '572', '491', '735', '654', '573', '492', '736', '655', '574', '493', '737', '656', '575', '494', '738', '657', '576', '495', '739', '658', '577', '496', '659', '578', '497', '579', '498', '499', '740', '741', '660', '742', '661', '580', '743', '662', '581', '744', '663', '582', '745', '664', '583', '746', '665', '584', '747', '666', '585', '748', '667', '586', '749', '668', '587', '669', '588', '589', '750', '751', '670', '752', '671', '590', '672', '591', '673', '592', '674', '593', '675', '594', '676', '595', '677', '596', '678', '597', '679', '598', '599', '680', '681', '682', '683', '684', '685', '686', '687', '688', '689', '690', '691', '692', '693', '694', '695', '696', '697', '698', '699', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '200', '201', '120', '202', '121', '203', '122', '204', '123', '205', '124', '206', '125', '207', '126', '208', '127', '209', '128', '129', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '210', '211', '130', '212', '131', '213', '132', '214', '133', '215', '134', '216', '135', '217', '136', '218', '137', '219', '138', '139', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '300', '220', '301', '221', '140', '302', '222', '141', '303', '223', '142', '304', '224', '143', '305', '225', '144', '306', '226', '145', '307', '227', '146', '308', '228', '147', '309', '229', '148', '149', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '310', '230', '311', '231', '150', '312', '232', '151', '313', '233', '152', '314', '234', '153', '315', '235', '154', '316', '236', '155', '317', '237', '156', '318', '238', '157', '319', '239', '158', '159', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '400', '320', '401', '240', '321', '402', '241', '160', '322', '403', '242', '161', '323', '404', '243', '162', '324', '405', '244', '163', '325', '406', '245', '164', '326', '407', '246', '165', '327', '408', '247', '166', '328', '409', '248', '167', '329', '249', '168', '169', '410', '330', '411', '250', '331', '412', '251', '170', '332', '413', '252', '171', '333', '414', '253', '172', '334', '415', '254', '173', '335', '416', '255', '174', '336', '417', '256', '175', '337', '418', '257', '176', '338', '419', '258', '177', '339', '259', '178', '179', '500', '420', '501', '340', '421', '502', '260', '341', '422', '503', '261', '180', '342', '423', '504', '262', '181', '343', '424', '505', '263', '182', '344', '425', '506', '264', '183', '345', '426', '507', '265', '184', '346', '427', '508', '266', '185', '347', '428', '509', '267', '186', '348', '429', '268', '187', '349', '269', '188', '189', '510', '430', '511', '350', '431', '512', '270', '351', '432', '513', '271', '190', '352', '433', '514', '272', '191', '353', '434', '515', '273', '192', '354', '435', '516', '274', '193', '355', '436', '517', '275', '194', '356', '437', '518', '276', '195', '357', '438', '519'}


@data
"roscoe's house of chicken 'n' waffles", '161'
"schatzi on main", '162'
"sofi", '163'
"swingers", '164'
"tavola calda", '165'
"the mandarin", '166'
"tommy tang's", '167'
"tra di noi", '168'
"trader vic's", '169'
"vida", '170'
"west beach cafe", '171'
"20 mott", '172'
"9 jones street", '173'
"adrienne", '174'
"agrotikon", '175'
"aja", '176'
"alamo", '177'
"alley's end", '178'
"ambassador grill", '179'
"american place", '180'
"anche vivolo", '181'
"arizona", '182'
"arturo's", '183'
"au mandarin", '184'
"bar anise", '185'
"barbetta", '186'
"ben benson's", '187'
"big cup", '188'
"billy's", '189'
"boca chica", '190'
"bolo", '191'
"boonthai", '192'
"bouterin", '193'
"brothers bar-b-q", '194'
"bruno", '195'
"bryant park grill  roof restaurant and bp cafe", '196'
"c3", '197'
"ct", '198'
"cafe bianco", '199'
"cafe botanica", '200'
"cafe la fortuna", '201'
"cafe luxembourg", '202'
"cafe pierre", '203'
"cafe centro", '204'
"cafe fes", '205'
"caffe dante", '206'
"caffe dell'artista", '207'
"caffe lure", '208'
"caffe reggio", '209'
"caffe roma", '210'
"caffe vivaldi", '211'
"caffe bondi ristorante", '212'
"capsouto freres", '213'
"captain's table", '214'
"casa la femme", '215'
"cendrillon asian grill & marimba bar", '216'
"chez jacqueline", '217'
"chiam", '218'
"china grill", '219'
"cite", '220'
"coco pazzo", '221'
"columbus bakery", '222'
"corrado cafe", '223'
"cupcake cafe", '224'
"da nico", '225'
"dean & deluca", '226'
"diva", '227'
"dix et sept", '228'
"docks", '229'
"duane park cafe", '230'
"el teddy's", '231'
"emily's", '232'
"empire korea", '233'
"ernie's", '234'
"evergreen cafe", '235'
"f. ille ponte ristorante", '236'
"felix", '237'
"ferrier", '238'
"fifty seven fifty seven", '239'
"film center cafe", '240'
"fiorello's roman cafe", '241'
"firehouse", '242'
"first", '243'
"fishin eddie", '244'
"fleur de jour", '245'
"flowers", '246'
"follonico", '247'
"fraunces tavern", '248'
"french roast", '249'
"french roast cafe", '250'
"frico bar", '251'
"fujiyama mama", '252'
"gabriela's", '253'
"gallagher's", '254'
"gianni's", '255'
"girafe", '256'
"global", '257'
"golden unicorn", '258'
"grand ticino", '259'
"halcyon", '260'
"hi-life restaurant and lounge", '262'
"home", '263'
"hudson river club", '264'
"i trulli", '265'
"il cortile", '266'
"il nido", '267'
"inca grill", '268'
"indochine", '269'
"internet cafe", '270'
"ipanema", '271'
"jean lafitte", '272'
"jewel of india", '273'
"jimmy sung's", '274'
"joe allen", '275'
"judson grill", '276'
"l'absinthe", '277'
"l'auberge", '278'
"l'auberge du midi", '279'
"l'udo", '280'
"la reserve", '281'
"lanza restaurant", '282'
"lattanzi ristorante", '283'
"layla", '284'
"le chantilly", '285'
"le gamin", '287'
"le jardin", '288'
"le madri", '289'
"le marais", '290'
"le perigord", '291'
"le select", '292'
"les halles", '293'
"lincoln tavern", '294'
"lola", '295'
"lucky strike", '296'
"mad fish", '297'
"main street", '298'
"mangia e bevi", '299'
"manhattan cafe", '300'
"manila garden", '301'
"marichu", '302'
"marquet patisserie", '303'
"match", '304'
"matthew's", '305'
"mavalli palace", '306'
"milan cafe and coffee bar", '307'
"monkey bar", '308'
"montien", '309'
"motown cafe", '311'
"new york kom tang soot bul house", '312'
"new york noodletown", '313'
"newsbar", '314'
"odeon", '315'
"orso", '316'
"osteria al droge", '317'
"otabe", '318'
"pacifica", '319'
"palio", '320'
"pamir", '321'
"parioli romanissimo", '322'
"patria", '323'
"peacock alley", '324'
"pen & pencil", '325'
"penang soho", '326'
"persepolis", '327'
"planet hollywood", '328'
"pomaire", '329'
"popover cafe", '330'
"post house", '331'
"rain", '332'
"red tulip", '333'
"republic", '335'
"roettelle a. g", '336'
"rosa mexicano", '337'
"ruth's chris", '338'
"s.p.q.r", '339'
"sal anthony's", '340'
"sammy's roumanian steak house", '341'
"san pietro", '342'
"sant ambroeus", '343'
"sarabeth's kitchen", '344'
"sea grill", '345'
"serendipity", '346'
"seventh regiment mess and bar", '347'
"sfuzzi", '348'
"shaan", '349'
"sofia fabulous pizza", '350'
"spring street natural restaurant & bar", '351'
"stage deli", '352'
"stingray", '353'
"sweet'n'tart cafe", '354'
"t salon", '355'
"tang pavillion", '356'
"tapika", '357'
"teresa's", '358'
"terrace", '359'
"the coffee pot", '360'
"the savannah club", '361'
"trattoria dell'arte", '362'
"triangolo", '363'
"tribeca grill", '364'
"trois jean", '365'
"tse yang", '366'
"turkish kitchen", '367'
"two two two", '368'
"veniero's pasticceria", '369'
"verbena", '370'
"victor's cafe", '371'
"vince & eddie's", '372'
"vong", '373'
"water club", '374'
"west", '375'
"xunta", '376'
"zen palate", '377'
"zoe", '378'
"abbey", '379'
"aleck's barbecue heaven", '380'
"annie's thai castle", '381'
"anthonys", '382'
"atlanta fish market", '383'
"beesley's of buckhead", '384'
"bertolini's", '385'
"bistango", '386'
"cafe renaissance", '387'
"camille's", '388'
"cassis", '389'
"city grill", '390'
"coco loco", '391'
"colonnade restaurant", '392'
"dante's down the hatch  buckhead", '393'
"dante's down the hatch", '394'
"fat matt's rib shack", '395'
"french quarter food shop", '396'
"holt bros. bar-b-q", '397'
"horseradish grill", '398'
"hsu's gourmet", '399'
"imperial fez", '400'
"kamogawa", '401'
"la grotta at ravinia dunwoody rd.", '402'
"little szechuan", '403'
"lowcountry barbecue", '404'
"luna si", '405'
"mambo restaurante cubano", '406'
"mckinnon's louisiane", '407'
"mi spia dunwoody rd.", '408'
"nickiemoto's: a sushi bar", '409'
"palisades", '410'
"pleasant peasant", '411'
"pricci", '412'
"r.j.'s uptown kitchen & wine bar", '413'
"rib ranch", '414'
"sa tsu ki", '415'
"sato sushi and thai", '416'
"south city kitchen", '417'
"south of france", '418'
"stringer's fish camp and oyster bar", '419'
"sundown cafe", '420'
"taste of new orleans", '421'
"tomtom", '422'
"antonio's", '423'
"bally's big kitchen", '424'
"bamboo garden", '425'
"battista's hole in the wall", '426'
"binion's coffee shop", '428'
"bistro", '429'
"broiler", '430'
"bugsy's diner", '431'
"cafe michelle", '432'
"cafe roma", '433'
"capozzoli's", '434'
"carnival world", '435'
"center stage plaza hotel", '436'
"circus circus", '437'
"empress court", '438'
"feast", '439'
"golden nugget hotel", '440'
"golden steer", '441'
"lillie langtry's", '442'
"mandarin court", '443'
"margarita's mexican cantina", '444'
"mary's diner", '445'
"mikado", '446'
"pamplemousse", '447'
"ralph's diner", '448'
"the bacchanal", '449'
"venetian", '450'
"viva mercado's", '451'
"yolie's", '452'
"2223", '453'
"acquarello", '454'
"bardelli's", '455'
"betelnut", '456'
"bistro roti", '457'
"bix", '458'
"bizou", '459'
"buca giovanni", '460'
"cafe adriano", '461'
"cafe marimba", '462'
"california culinary academy", '463'
"capp's corner", '464'
"carta", '465'
"chevys", '466'
"cypress club", '467'
"des alpes", '468'
"faz", '469'
"fog city diner", '470'
"garden court", '471'
"gaylord's", '472'
"grand cafe hotel monaco", '473'
"greens", '474'
"harbor village", '475'
"harris'", '476'
"harry denton's", '477'
"hayes street grill", '478'
"helmand", '479'
"hong kong flower lounge", '480'
"hong kong villa", '481'
"hyde street bistro", '482'
"il fornaio levi's plaza", '483'
"izzy's steak & chop house", '484'
"jack's", '485'
"kabuto sushi", '486'
"katia's", '487'
"kuleto's", '488'
"kyo-ya. sheraton palace hotel", '489'
"l'osteria del forno", '490'
"le central", '491'
"le soleil", '492'
"macarthur park", '493'
"manora", '494'
"maykadeh", '495'
"mccormick & kuleto's", '496'
"millennium", '497'
"moose's", '498'
"north india", '499'
"one market", '500'
"oritalia", '501'
"pacific pan pacific hotel", '502'
"palio d'asti", '503'
"pane e vino", '504'
"pastis", '505'
"perry's", '506'
"r&g lounge", '507'
"rubicon", '508'
"rumpus", '509'
"sanppo", '510'
"scala's bistro", '511'
"south park cafe", '512'
"splendido embarcadero", '513'
"stars", '514'
"stars cafe", '515'
"stoyanof's cafe", '516'
"straits cafe", '517'
"suppenkuche", '518'
"tadich grill", '519'
"the heights", '520'
"thepin", '521'
"ton kiang", '522'
"vertigo", '523'
"vivande porta via", '524'
"vivande ristorante", '525'
"world wrapps", '526'
"wu kong", '527'
"yank sing", '528'
"yaya cuisine", '529'
"yoyo tsumami bistro", '530'
"zarzuela", '531'
"zuni cafe & grill", '532'
"apple pan  the", '534'
"asahi ramen", '535'
"baja fresh", '536'
"belvedere  the", '537'
"benita's frites", '538'
"bernard's", '539'
"bistro 45", '540'
"brent's deli", '541'
"brighton coffee shop", '542'
"bristol farms market cafe", '543'
"bruno's", '544'
"cafe '50s", '545'
"cafe blanc", '546'
"cassell's", '547'
"chez melange", '548'
"diaghilev", '549'
"don antonio's", '550'
"duke's", '551'
"falafel king", '552'
"feast from the east", '553'
"gumbo pot  the", '554'
"hollywood hills coffee shop", '555'
"indo cafe", '556'
"jan's family restaurant", '557'
"jiraffe", '558'
"jody maroni's sausage kingdom", '559'
"joe's", '560'
"john o'groats", '561'
"johnnie's pastrami", '562'
"johnny reb's southern smokehouse", '563'
"johnny rockets (la)", '564'
"killer shrimp", '565'
"kokomo cafe", '566'
"koo koo roo", '567'
"la cachette", '568'
"la salsa (la)", '569'
"la serenata de garibaldi", '570'
"langer's", '571'
"local nochol", '572'
"main course  the", '573'
"mani's bakery & espresso bar", '574'
"martha's", '575'
"maxwell's cafe", '576'
"michael's (los angeles)", '577'
"mishima", '578'
"mo better meatty meat", '579'
"mulberry st.", '580'
"ocean park cafe", '581'
"ocean star", '582'
"original pantry bakery", '583'
"parkway grill", '584'
"pho hoa", '585'
"pink's famous chili dogs", '586'
"poquito mas", '587'
"r-23", '588'
"rae's", '589'
"rubin's red hots", '590'
"ruby's (la)", '591'
"russell's burgers", '592'
"ruth's chris steak house (los angeles)", '593'
"shiro", '594'
"sushi nozawa", '595'
"sweet lady jane", '596'
"taiko", '597'
"tommy's", '598'
"uncle bill's pancake house", '599'
"water grill", '600'
"zankou chicken", '601'
"afghan kebab house", '602'
"arcadia", '603'
"benny's burritos", '604'
"cafe con leche", '605'
"corner bistro", '606'
"cucina della fontana", '607'
"cucina di pesce", '608'
"darbar", '609'
"ej's luncheonette", '610'
"edison cafe", '611'
"elias corner", '612'
"good enough to eat", '613'
"gray's papaya", '614'
"il mulino", '615'
"jackson diner", '616'
"joe's shanghai", '617'
"john's pizzeria", '618'
"kelley & ping", '619'
"kiev", '620'
"kuruma zushi", '621'
"la caridad", '622'
"la grenouille", '623'
"lemongrass grill", '624'
"lombardi's", '625'
"marnie's noodle shop", '626'
"menchanko-tei", '627'
"mitali east-west", '628'
"monsoon (ny)", '629'
"moustache", '630'
"nobu", '631'
"one if by land  tibs", '632'
"oyster bar", '633'
"palm", '634'
"palm too", '635'
"patsy's pizza", '636'
"peter luger steak house", '637'
"rose of india", '638'
"sam's noodle shop", '639'
"sarabeth's", '640'
"sparks steak house", '641'
"stick to your ribs", '642'
"sushisay", '643'
"sylvia's", '644'
"szechuan hunan cottage", '645'
"szechuan kitchen", '646'
"thai house cafe", '648'
"thailand restaurant", '649'
"veselka", '650'
"westside cottage", '651'
"windows on the world", '652'
"wollensky's grill", '653'
"yama", '654'
"zarela", '655'
"andre's french restaurant", '656'
"buccaneer bay club", '657'
"buzio's in the rio", '658'
"emeril's new orleans fish house", '659'
"fiore rotisserie & grille", '660'
"hugo's cellar", '661'
"madame ching's", '662'
"mayflower cuisinier", '663'
"michael's (las vegas)", '664'
"monte carlo", '665'
"moongate", '666'
"morton's of chicago (las vegas)", '667'
"nicky blair's", '668'
"piero's restaurant", '669'
"spago (las vegas)", '670'
"steakhouse  the", '671'
"stefano's", '672'
"sterling brunch", '673'
"tre visi", '674'
"103 west", '675'
"alon's at the terrace", '676'
"baker's cajun cafe", '677'
"barbecue kitchen", '678'
"bistro  the", '679'
"bobby & june's kountry kitchen", '680'
"bradshaw's restaurant", '681'
"brookhaven cafe", '682'
"cafe sunflower", '683'
"canoe", '684'
"carey's", '685'
"carey's corner", '686'
"chops", '687'
"chopstix", '688'
"deacon burton's soulfood restaurant", '689'
"eats", '690'
"flying biscuit  the", '691'
"frijoleros", '692'
"greenwood's", '693'
"harold's barbecue", '694'
"havana sandwich shop", '695'
"house of chan", '696'
"indian delights", '697'
"java jive", '698'
"johnny rockets (at)", '699'
"kalo's coffee house", '700'
"la fonda latina", '701'
"lettuce souprise you (at)", '702'
"majestic", '703'
"morton's of chicago (atlanta)", '704'
"my thai", '705'
"nava", '706'
"nuevo laredo cantina", '707'
"original pancake house (at)", '708'
"palm  the (atlanta)", '709'
"rainbow restaurant", '710'
"ritz-carlton cafe (atlanta)", '711'
"riviera", '712'
"silver skillet  the", '713'
"soto", '714'
"thelma's kitchen", '715'
"tortillas", '716'
"van gogh's restaurant & bar", '717'
"veggieland", '718'
"white house restaurant", '719'
"zab-e-lee", '720'
"bill's place", '721'
"cafe flore", '722'
"caffe greco", '723'
"campo santo", '724'
"cha cha cha's", '725'
"doidge's", '726'
"dottie's true blue cafe", '727'
"dusit thai", '728'
"ebisu", '729'
"emerald garden restaurant", '730'
"eric's chinese restaurant", '731'
"hamburger mary's", '732'
"kelly's on trinity", '733'
"la cumbre", '734'
"la mediterranee", '735'
"la taqueria", '736'
"mario's bohemian cigar store cafe", '737'
"marnee thai", '738'
"mel's drive-in", '739'
"mo's burgers", '740'
"phnom penh cambodian restaurant", '741'
"roosevelt tamale parlor", '742'
"sally's cafe & bakery", '743'
"san francisco bbq", '744'
"slanted door", '745'
"swan oyster depot", '746'
"thep phanom", '747'
"ti couz", '748'
"trio cafe", '749'
"tu lan", '750'
"vicolo pizzeria", '751'
"wa-ha-ka oaxaca mexican grill", '752'
