@relation "citeseer-reinforcement"

@attribute reference string
@attribute class {'279', '51', '54', '57', '201', '204', '123', '522', '441', '360', '207', '126', '525', '444', '363', '282', '447', '285', '369', '63', '66', '69', '210', '3', '213', '6', '450', '216', '9', '135', '453', '372', '291', '138', '456', '459', '378', '72', '75', '78', '300', '303', '141', '222', '306', '144', '225', '462', '381', '309', '147', '228', '465', '384', '468', '387', '81', '84', '150', '231', '315', '153', '234', '471', '390', '318', '156', '237', '474', '159', '396', '477', '12', '399', '15', '18', '90', '96', '240', '321', '402', '162', '324', '405', '165', '246', '327', '408', '480', '249', '483', '486', '21', '24', '27', '330', '411', '171', '252', '333', '414', '174', '255', '336', '417', '177', '339', '492', '495', '498', '33', '36', '39', '102', '501', '105', '420', '504', '261', '342', '423', '507', '183', '264', '345', '426', '267', '348', '189', '42', '45', '111', '510', '114', '513', '117', '270', '351', '432', '516', '192', '273', '354', '435', '519', '195', '276', '357', '438'}


@data
"L.-J. Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, School of Computer Science, Carnegie Mellon University, 1993.", '27'
"Steven Whitehead. Reinforcement Learning for the Adaptive Control of Perception and Action. PhD thesis, Department of Computer", '33'
"Steven Whitehead. Reinforcement Learning for the Adaptive Control of Perception and Action. PhD thesis, Department of Computer Science, University of Rochester, 1992.", '33'
"Whitehead, S.D. (1992). Reinforcement learning for the adaptive control of perception and action Tech. Rep.", '33'
"Whitehead, S. (1992). Reinforcement Learning for the Adaptive Control of Perception and Action. PhD thesis, University of Rochester.", '33'
"M.A. Pokorny, A Method of Tuning Fuzzy Sets by Reinforcement Learning, Master's Thesis, Department of Computer Science and Engineering, Univ. of South Florida, Tampa, Fl., April 1996.", '36'
"Buijtenen W.M., Schram G., Babu>=ska R., Verbruggen H.B. (1996), Adaptive fuzzy control of satellite attitude by reinforcement learning. Submitted to IEEE transactions on Fuzzy Systems.", '39'
"Ram, A. and J.C. Santamaria, A multistrategy case-based and reinforcement learning approach to self-improving reactive control systems for autonomous robotic navigation. In Proc. of the Second International Workshop on MultiStrategy Learning, 1993.", '42'
"Ram, A. and J.C. Santamaria, A multistrategy case-based and reinforcement learning approach to self-improving reactive control systems for autonomous robotic navigation. In Proc. of the Second International Workshop on MultiStrategy Learning, 1993.", '42'
"Ilg W., Berns K. (1995), A learning architecture based on reinforcement learning for adaptive control of the walking machine LAURON. Robotics and Autonomous Systems, Vol 15, pp 321-334.", '45'
"M. Asada, S. Noda, S. Tawaratsumida, and K. Hosoda. Vision-based reinforcement learning for purposive behavior acquisition. In Proc. of IEEE Int. Conf. on Robotics and Automation, pages 146-153, 1995.  Figure 7: The robot succeeded i", '51'
"Asada, M., S. Noda, S. Tawaratsumida and K. Hosoda (1995). Vision-based reinforcement learning for purposive behavior acquisition. In: Proc. of IEEE Int. Conf. on Robotics and Automation. pp. 146-153.", '51'
"Asada, M., S. Noda, S. Tawaratsumida and K. Hosoda (1994b). Vision-based behavior acquisition for a shooting robot by using a reinforcement learning.", '54'
"M. Asada,S. Noda, S. Tawaratsumida and K. Hosoda, Purposive Behavior Acquisition On A Real Robot By A Vision-Based Reinforcement Learning, Proceedings of the MLT-COLT 94 Workshop on Robot Learning, New Brunswick, N.J., 1-9, 1994 .", '57'
"Minoru Asada, Shoichi Noda, Sukoya Tawaratsumida, and Koh Hosoda. Purposive behavior acquisition on a real robot by visionbased reinforcement learning. In Proc. of MLC-COLT (Machine Learning Confernce and Computer Learning Theory) W", '57'
"Asada, M., S. Noda, S. Tawaratsumida and K. Hosoda (1994a). purposive behavior acquisition on a real robot by vision-based reinforcement learning. In: Proc. of MLC-COLT (Machine Learning Conference and Computer Learning Theory) Workshop on Robot Learni", '57'
"Minoru Asada, Shoichi Noda, Sukoya Tawaratsumida, and Koh Hosoda. Purposive behav ior acquisition for a real robot by visionbased reinforcement learnin. Machine Learning, 12((2/3)):279303, May 1996.", '63'
"M. Asada, S. Noda, S. Tawaratumida, and K. Hosoda. Purposive behavior acquisition for a real robot by vision-based reinforcement learning. Machine Learning, 23:279-303, 1996.", '63'
"M. Asada, S. Noda, S. Tawaratumida, and K. Hosoda. Purposive behavior acquisition for a real robot by vision-based reinforcement learning. Machine Learning, 23:279-303, 1996.", '63'
"M. Asada, S. Noda, S. Tawaratumida, and K. Hosoda. Purposive behavior acquisition for a real robot by visionbased reinforcement learning. Machine Learning, 23:279 303, 1996.", '63'
"M. Asada, S. Noda, S. Tawaratumida, and  K. Hosoda. Purposive behavior acquisition for a real robot by vision-based reinforcement learning. Machine Learning, 23:279-303, 1996.", '63'
"Minoru Asada, Shoichi Noda, Sukoya Tawaratumida, and Koh Hosoda. Purposive behavior acquisition for a real robot by vision-based reinforcement learning. Machine Learning, 23:279-303, 1996.", '63'
"M. Asada, E. Uchibe, S. Noda, S. Tawaratsumida, and K. Hosoda. coordination of multiple behaviors acquired by vision-based reinforcement learning. In Proc. of IEEE/RSJ/GI International Conference on Intelligent Robots and Systems", '66'
"Minoru Asada, Eiji Uchibe, Shoichi Noda, Sukoya Tawaratsumida, and Koh Hosoda. Coordination of multiple behaviors acquired by vision-based reinforcement learning. In Proc. of IEEE/RSJ/GI International Conference  on Intelligent Robo", '66'
"M. Asada, E. Uchibe, S. Noda, S. Tawaratsumida, and K. Hosoda. Coordination of multiple behaviors acquired by visionbased reinforcement learning. In Proc. of IEEE/RSJ/GI International Conference on Intelligent Robots and Systems 1994 (IROS '94), page", '66'
"M. Asada, E. Uchibe, S. Noda, S. Tawaratsumida, and K. Hosoda. Coordination of multiple behaviors acquired by visionbased reinforcement learning. In Proc. of the International Conference on Intelligent Robots and Systems), pages 917924, 1994.", '66'
"Asada, M.; Uchibe, E.; Noda, S.; Tawaratsumida, S.; and Hosoda, K. 1994. Coordination of multiple behaviors acquired by vision-based reinforcement learning. In Proceedings of IROS-94.", '66'
"M. Asada, E. Uchibe, S. Noda, S. Tawaratsumida, and K. Hosoda. Coordination of multiple behaviors acquired by vision-based reinforcement learning. In Proc. of IEEE/RSJ/GI International Conference on Intelligent Robots and Systems 1994 (IROS '94), pages 9", '66'
"Eiji Uchibe, Minoru Asada, and Koh Hosoda. Behavior coordination for a mobile robot using modular reinforcement learning. In Proc. of IEEE/RSJ International Conference on Intelligent Robots and Systems 1996 (IROS '96), pages 1329-13", '69'
"Eiji Uchibe, Minoru Asada, and Koh Hosoda. Behavior coordination for a mobile robot using modular reinforcement learning. In Proc. of IEEE/RSJ International Conference on Intelligent Robots and Systems 1996 (IROS '96), pages 13291336, 1996.", '69'
"M. Asada, E. Uchibe, S. Noda, S. Tawaratsumida, and K. Hosoda. A vision-based reinforcement learning for coordination of soccer playing behaviors. In Proc. of AAAI-94 Workshop on AI and A-life and Entertainment, pages 16-21, 1994.", '72'
"M. Dorigo and M. Colombetti, The role of the Trainer in Reinforcement Learning, Proceedings of the MLT-COLT 94 Workshop on Robot Learning, New Brunswick, N.J., 37-45, 1994.", '75'
"Gambardella, L. M. and Dorigo, M., 1995, Ant-Q: A Reinforcement Learning approach to the traveling salesman problem, in: Proceedings of ML-95, Twelfth International Conference on Machine Learning, A. Prieditis and S. Russell (eds.) (Morgan Kaufmann, San", '78'
"L. M. Gambardella and M. Dorigo. Ant-Q: A Reinforcement Learning Approach to the Traveling Salesman Problem. In Proceedings of the Twelfth Iternational Conference on Machine Learning, pages 252-260. Morgan Kaufmann, 1995.", '78'
"L. M. Gambardella and M. Dorigo. Ant-Q: A Reinforcement Learning Approach to the Traveling Salesman Problem. In Proceedings of the Twelfth Iternational Conference on Machine Learning, pages 252-260. Morgan Kaufmann, 1995.", '78'
"Gambardella, L. M. and Dorigo, M., 1995, Ant-Q: A Reinforcement Learning approach to the traveling salesman problem, in: Proceedings of ML-95, Twelfth International Conference on Machine Learning, A. Prieditis and S. Russell (eds.) (Morgan Kaufmann, San", '78'
"R. A. McCallum. Instance-based utile distinctions for reinforcement learning with hidden state. In A. Prieditis and S. Russell, editors, Machine Learning: Proceedings of the Twelfth International Conference, pages 387-395. Morgan Kaufmann Publishers", '81'
"McCallum, R. A. (1995). Instance-based utile distinctions for reinforcement learning with hidden state. In Prieditis, A. and Russell, S., editors, Machine Learning: Proceedings of the Twelfth International Conference, pages 387-395. Morgan Kaufmann Publi", '81'
"R. Andrew McCallum. Instance-based utile distinctions for reinforcement learning with hidden state. In Proceedings of the Twelfth International Conference on Machine Learning, pages 387-395, San Francisco, CA, 1995. Morgan Kaufmann.", '81'
"Baird, L.C. (1995). Residual Algorithms: Reinforcement Learning with Function Approximation. In Armand Prieditis & Stuart Russell, eds. Machine Learning: Proceedings of the Twelfth International Conference, 9-12 July, Morgan Kaufman Publishers, San Franc", '84'
"Baird, L. C. (1995). Residual Algorithms: Reinforcement Learning with Function Approximation. In Armand Prieditis & Stuart Russell, eds. Machine Learning: Proceedings of the Twelfth International Conference, 9-12 July, Morgan Kaufman Publishers, San Fran", '84'
"Baird, L. C. (1995) Residual Algorithms: Reinforcement Learning with Function Approximation, in Prieditis & Russell, eds. Machine Learning: Proceedings of the Twelfth International Conference, 9-12 July, Morgan Kaufman Publishers, San Francisco, CA.", '84'
"Michael L. Littman. Markov games as a framework for multiagent reinforcement learning. In Proceedings of the Eleventh International Conference on Machine Learning, pages 157163, San Mateo, CA, 1994. Morgan Kaufman.", '90'
"M. L. Littman. Markov games as a framework for multi-agent reinforcement learning. In Proc. of Conf. on Machine Learning-1994, pages 157-163, 1994.", '90'
"Michael L. Littman. Markov games as a framework for multi-agent reinforcement learning. Proceedings of the eleventh International Conference on Machine Learning, pages 157-163, July 1994.", '90'
"Littman, M. L. (1994). Markov games as a framework for multi-agent reinforcement learning. In Proceedings of the Eleventh International Conference on Machine Learning, pages 157-163, San Francisco, CA. Morgan Kaufmann.", '90'
"Littman, M. (1994) Markov Games as a Framework for Multi-agent Reinforcement Learning. Machine Learning: Proceedings of the Eleventh International Conference.", '90'
"Mahadevan, S. (1992). Enhancing transfer in reinforcement learning by building stochastic models of robot actions. In Proceedings of the Ninth International Conference on Machine Learning (pp. 290-299). San Mateo, CA: Morgan Kaufmann Publishers.", '96'
"Mahadevan, S. 1992. Enhancing transfer in reinforcement learning by building stochastic models of robot actions. In Proceedings of the Ninth International Conference on Machine Learning (pp. 290-299). San Mateo, CA: Morgan Kaufmann Publishers.", '96'
"S. Mahadevan. Enhancing Transfer in Reinforcement Learning by Building Stochastic Models of Robot Actions. In Machine Learning: Proceedings of the Ninth International Workshop. Morgan Kaufmann, June 1992.", '96'
"Mahadevan, S., 1992. Enhancing transfer in reinforcement learning by building stochastic models of robots actions. Proceedings of the 9th Conference on Machine Learning, Aberdeen, Scotland, 290299.", '96'
"Satinder P. Singh. Scaling reinforcement learning algorithms by learning variable temporal resolution models. In The Proceedings of the Ninth Internation Machine Learning Conference. Morgan Kaufmann Publishers, Inc., 1992.", '102'
"Singh, S., Scaling reinforcement learning algorithms by learning variable temporal resolution models. In Proc. of the Ninth International Workshop on Machine Learning, 1992.", '102'
"Singh, S., Scaling reinforcement learning algorithms by learning variable temporal resolution models. In Proc. of the Ninth International Workshop on Machine Learning, 1992.", '102'
"Singh, S., Scaling reinforcement learning algorithms by learning variable temporal resolution models. In Proc. of the Ninth International Workshop on Machine Learning, 1992.", '102'
"R. Andrew McCallum. Using transitional proximity for faster reinforcement learning. In The Proceedings of the Ninth International Machine Learning Conference. Morgan Kaufmann Publishers, Inc., 1992.", '105'
"Jeffery A. Clouse and Paul E. Utgoff. A teaching method for reinforcement learning. In The Proceedings of the Ninth International Machine Learning Conference. Morgan Kaufmann Publishers, Inc., 1992.", '111'
"Clouse, J. & Utgoff, P. (1992). A teaching method for reinforcement learning. In Machine Learning: Proceedings of the Ninth International Workshop, (pp. 92-101), Aberdeen, Scotland.", '111'
"Clouse, J. and P. Utgoff, A teaching method for reinforcement learning. In Proc. of the Ninth International Workshop on Machine Learning, 1992.", '111'
"Clouse, J.A., Utgoff, P.E. (1992). A teaching method for reinforcement learning. In: Proceedings of the MLC'92, San Mateo, CA, pp. 92-101.", '111'
"Clouse, J., & Utgoff, P. 1992. A teaching method for reinforcement learning. Proc. 9th Intl. ML Conf., 92-101.", '111'
"Clouse, J. and P. Utgoff, A teaching method for reinforcement learning. In Proc. of the  Ninth International Workshop on Machine Learning, 1992.", '111'
"Clouse, J., & Utgoff, P. (1992). A teaching method for reinforcement learning. In Proceedings of the Ninth International Conference on Machine Learning, pp. 92-101 Aberdeen, Scotland.", '111'
"Clouse, J.A., & P.E. Utgoff, 1992. A teaching method for reinforcement learning. Proceedings of the Ninth Conference on Machine Learning, Aberdeen, Scotland, 92101.", '111'
"Clouse, J. A. & Utgoff, P. E. (1992). A Teaching Method for Reinforcement Learning. In Proceedings of the Ninth International Conference on Machine Learning. Ed. D. Sleeman, & P. Edwards. Morgan Kaufmann, 92-101.", '111'
"Clouse, J. and P. Utgoff, A teaching method for reinforcement learning. In Proc. of the Ninth International Workshop on Machine Learning, 1992.", '111'
"Schwartz, A. (1993), A reinforcement learning method for maximizing undiscounted rewards, in P. Utgoff, ed., Proceedings of the Tenth International Conference on Machine Learning, Morgan Kaufmann.", '114'
"Schwartz, A. (1993). A reinforcement learning method for maximizing undiscounted rewards. In Proceedings of the Tenth International Conference on Machine Learning, San Mateo, CA. Morgan Kaufmann.", '114'
"Schwartz, Anton 1993. A reinforcement learning method for maximizing undiscounted rewards. In Proceedings of the Tenth International Conference on Machine Learning, Amherst, Massachusetts. Morgan Kaufmann. 298305.", '114'
"Tan, M. 1993. Multi-agent reinforcement learning: independent vs. cooperative agents. In Proceedings of the Tenth International Conference on Machine Learning, Amherst, Massachusetts. Morgan Kaufmann.", '117'
"Ming Tan. Multiagent reinforcement learning: Independent vs. cooperative agents. In Proceedings of the Tenth International Conference on Machine Learning, pages 330337, 1993.", '117'
"Kaelbling, L. P. (1993). Hierarchical reinforcement learning: Preliminary results. In Proceedings of the Tenth International Conference on Machine Learning, (pp. 167-173) San Francisco, CA. Morgan Kaufmann.", '123'
"Chapman, D., & Kaelbling, L. P. (1991). Input generalization in delayed reinforcement learning: An algorithm and performance comparisons. In Proc. 12th IJCAI, pp. 726-731. Morgan Kaufmann.  Cormen, T. H., Leiserson, C. E., & Rivest, R. L.", '126'
"Chapman, D. and L. P. Kaelbling (1991). Input generalization in delayed reinforcement learning: An alogorithm and performance comparisons. In: Proc. of IJCAI-91. pp. 726-731.", '126'
"Chapman, D. & Kaelbling, L. 1991. Input generalization in delayed reinforcement learning: An algorithm and performance comparisons. In Proceedings of Twelfth International Joint Conference on Artificial Intelligence (pp. 726-731). San Mateo, CA: Morgan K", '126'
"David J. Chapman and Leslie Pack Kaelbling (1991). Input Generalization in Delayed Reinforcement Learning: An Algorithm and Performance Comparisons. Proc. of the Twelfth Intern. Conf. on Articial Intelligence, pp. 726 - 731.", '126'
"David Chapman and Leslie Pack Kaelbling. Learning from delayed reinforcement in a complex domain. In Proceedings of IJCAI, 1991.", '135'
"Chapman, D. and Kaelbing, L. P. (1991). Learning from delayed reinforcement in a complex domain. Technical report, Teleos Research.", '138'
"D. Chapman and L. P. Kaelbling. Learning from Delayed Reinforcement In a Complex Domain. Technical Report, Teleos Research, 1991.", '138'
"Peter J. Millington. Associative reinforcement learning for optimal control. Master's thesis, Massachusetts Institute of Technology, 1991. (also Charles Stark Draper Laboratory, Inc., Technical Report CSDL-T-1070).", '141'
"Millington, P. J. (1991). Associative reinforcement learning for optimal control. Unpublished master's thesis, Massachusetts Institute of Technology, Cambridge, MA.", '141'
"Sutton, R. (1991). Reinforcement learning architectures for animats. In Meyer, J. & Wilson, S., editors, From Animals to Animats: Proceedings of the First International Conference on Simulation of Adaptive Behavior. MIT Press, Cambridge, MA.", '144'
"Sutton, R. 1991. Reinforcement learning architectures for animats. In Meyer, J., & Wilson, S., eds., From Animals to Animats. MIT Press.", '144'
"Sutton R. S., Reinforcement Learning Architectures for Animats, In: From Animals to Animats, Proceedings of the First International Conference on the Simulation of Adaptive Behavior, edited by Meyer J.-A. & Wilson S.W., MIT Press/Bradford Books, 199", '144'
"Sutton, R. S. (1991), Reinforcement Learning Architectures for Animats, in `First International Conference on Simulation of Adaptive Behavior', The MIT Press, Cambridge, MA.", '144'
"Sutton, R. (1991). Reinforcement learning architectures for animats. In Meyer, J., & Wilson, S. (Eds.), From Animals to Animats: Proceedings of the First International Conference on Simulation of Adaptive Behavior, pp. 288-296. MIT Press, Cambridge, MA.", '144'
"Mark Ring. Two methods for hierarchy learning in reinforcement enviroments. In From Animals to Animats 2: Proceedings of the 2nd International Conference on Simulation of Adaptive Behaviour:. MIT Press, 1992.", '147'
"Long-Ji Lin and Tom M. Mitchell. Reinforcement learning with hidden states. In Proceedings of the Second International Conference on Simulation of Adaptive Behavior: From Animals to Animats, 1992.", '150'
"Long-Ji Lin and Tom M. Mitchell. Reinforcement learning with hidden states. In Proceedings of the Second International Conference on Simulation of Adaptive Behavior: From Animals to Animats, 1992.", '150'
"Littman, M. L. An optimization-based categorization of reinforcement learning environments. In In From Animals to Animats 2: Proceedings of the Second International Conference on Simulation of Adaptive Behavior (1992), J.-A. M. H. Roitblat and S. W.", '153'
"Littman M., An Optimization-Based Categorization of Reinforcement Learning Environments. In: From Animals to Animats 2, Proceedings of the Second International Conference on Simulation of Adaptive Behavior, edited by Meyer J.-A., Roitblat H.L. & Wil", '153'
"Humphrys, M. (1996). Action selection methods using reinforcement learning. In Maes, P., Mataric, M., Meyer, J.-A., Pollack, J., and Wilson, S. W., editors, From Animals to Animats 4: Proceedings of the Fourth International Conference on Simulation of Ad", '156'
"J. Zhao and J. Schmidhuber. Incremental self-improvement for life-time multi-agent reinforcement learning. In Pattie Maes, Maja Mataric, Jean-Arcady Meyer, Jordan Pollack, and Stewart W. Wilson, editors, From Animals to Animats 4: Proceedings of the", '159'
"Zhao, J. and Schmidhuber, J. (1996). Incremental self-improvement for life-time multi-agent reinforcement learning. In Maes, P., Mataric, M., Meyer, J.-A., Pollack, J., and Wilson, S. W., editors, From Animals to Animats 4: Proceedings of the Fourth Inte", '159'
"Jieyu Zhao Jurgen H. Schmidhuber. Incremental self-improvement for life-time multiagent reinforcement learning. In Pattie Maes, Maja J. Mataric, Jean-Arcady Meyer, Jordan Pollack, and Stewart W. Wilson, editors, From Animals to Animats: Proceedings", '159'
"Zhao, J. and Schmidhuber, J. (1996). Incremental self-improvement for life-time multi-agent reinforcement learning. In Maes, P., Mataric, M., Meyer, J.-A., Pollack, J., and Wilson, S. W., editors, From Animals to Animats 4: Proceedings of the Fourth Inte", '159'
"Jieyu Zhao and Juergen Schmidhuber. Incremental selfimprovement for lifelong multi agent reinforcement learning. In Fourth International Conference on Simulation of Adaptive Behavior, Cape Cod, USA, 1996.", '159'
"Digney, B. (1996). Emergent hierarchical control structures: Learning reactive/hierarchical relationships in reinforcement environments. In Maes, P., Mataric, M., Meyer, J.-A., Pollack, J., and Wilson, S. W., editors, From Animals to Animats 4: Proceedin", '162'
"Jurgen Schmidhuber. A general method for multiagent reinforcement learning in unrestricted envi ronments. In Adaptation, Coevolution and Learning in Multiagent Systems: Papers from the 1996 AAAI Spring Symposium, pages 8487, Menlo Park,CA, March 199", '165'
"Krose, B.J.A and J.W.M.van Dam (1992). Adaptive state space quantisation for reinforcement learning of collision-free navigation IEEE International Conference on Intelligent Robots and System", '171'
"Krose, B.J.A. and J.W.M. van Dam, Learning to avoid collision: a reinforcement learning paradigm for mobile robot navigation IFAC/IFIP/IMACS International Symposium on Artificial Intelligence in Real-Time Control, Delft, 1992.", '174'
"W. Zhang and T. Dietterich. A reinforcement learning approach to job-shop scheduling. In Proceedings of the 14th International Joint Conference on Artificial Intelligence, 1995. (to appear).", '177'
"W. Zhang and T. Dietterich. A reinforcement learning approach to job-shop scheduling. In Proceedings of the 14th International Joint Conference on Artificial Intelligence, 1995. (to appear).", '177'
"W. Zhang and T. G. Dietterich. A reinforcement learning approach to job-shop scheduling. In Proceedings of IJCAI-95, pages 1114-1120, 1995.", '177'
"Zhang, W., and Dietterich, T. G. (1995) A Reinforcement Learning Approach to Job Shop Scheduling, Proceedings of the IJCAI.", '177'
"Dietterich, T. G., & Flann, N. (1995). Explanationbased learning and reinforcement learning: A unifed view. In Proceedings of Machine Learning Conference.", '183'
"Jaakkola, T., Singh, S. P., & Jordan, M. I. (1995). Reinforcement learning with soft state aggregation. Advances in Neural Information Processing Systems 7 (pp. 361-368), MIT Press.", '189'
"Singh, S., Jaakkola, T., and Jordan, M. (1995). Reinforcement learning with soft state aggregation. In Tesauro, G., Touretzky, D. S., and Leen, T. K., editors, Advances in Neural Information Processing Systems 7, Cambridge, MA. The MIT Press.", '189'
"T. Jaakkola, S. P. Singh, and M. I. Jordan. Reinforcement learning algorithm for partially observable Markov decision problems. In G. Tesauro, D. S. Touretzky, and T. K. Leen, editors, Advances in Neural Information Processing Systems 7, pages 345-3", '192'
"Jaakkola, T., Singh, S. P., and Jordan, M. I. (1995). Reinforcement learning algorithm for partially observable Markov decision problems. In Tesauro, G., Touretzky, D. S., and Leen, T. K., editors, Advances in Neural Information Processing Systems 7, pag", '192'
"Jaakkola, T., Singh, S. P., and Jordan, M. I. (1995). Reinforcement learning algorithm for partially observable Markov decision problems. In Tesauro, G., Touretzky, D. S., and Leen, T. K., editors, Advances in Neural Information Processing Systems 7, pag", '192'
