@relation "citeseer-face"

@attribute reference string
@attribute class {'675', '594', '279', '198', '678', '597', '51', '54', '57', '201', '120', '600', '204', '123', '603', '522', '441', '360', '207', '126', '606', '525', '444', '363', '282', '129', '681', '609', '528', '447', '366', '285', '684', '369', '288', '687', '60', '61', '63', '66', '69', '210', '3', '213', '132', '6', '612', '531', '450', '216', '135', '9', '615', '534', '453', '372', '291', '219', '138', '454', '455', '690', '618', '537', '456', '375', '294', '693', '378', '297', '696', '699', '72', '75', '78', '300', '303', '222', '141', '702', '621', '540', '306', '225', '705', '624', '543', '462', '381', '228', '147', '708', '627', '546', '465', '384', '549', '468', '387', '81', '84', '87', '231', '150', '711', '630', '315', '234', '153', '714', '633', '552', '471', '390', '237', '156', '717', '636', '474', '393', '159', '639', '558', '477', '396', '12', '399', '18', '90', '93', '96', '99', '240', '321', '402', '720', '162', '243', '324', '405', '723', '642', '561', '480', '165', '246', '327', '408', '726', '645', '564', '483', '168', '249', '729', '648', '567', '486', '21', '489', '24', '27', '330', '411', '171', '252', '333', '414', '732', '651', '570', '174', '255', '336', '417', '735', '654', '573', '492', '177', '258', '339', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '501', '105', '420', '504', '180', '108', '261', '342', '423', '741', '660', '507', '183', '264', '345', '426', '744', '663', '582', '186', '267', '348', '429', '747', '666', '585', '189', '669', '588', '42', '45', '48', '111', '510', '114', '513', '117', '270', '351', '432', '750', '516', '192', '354', '435', '753', '672', '591', '519', '195', '357', '438'}


@data
"M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. A virtual memory mapped network  interface for the SHRIMP multicomputer. In Proceedings of the 21st Annual Symposium on Computer Architecture, pages 142-153, April 1994.", '36'
"Matthias Blumrich, Cezary Dubnicki, Edward Felten, Kai Li, and Malena Mesarina. Virtualmemory-mapped network interfaces. IEEE MICRO, 15(1):21-28, February 1995.", '39'
"M. Blumrich, C. Dubnicki, E. Felten, K. Li, and M. Mesarina. Virtual memory mapped network interfaces. IEEE Micro, 15(1):21-28, February 1995.", '39'
"L. I. Kontothanassis and M. L. Scott. Using MemoryMapped Network Interfaces to Improve t he Performance of Distributed Shared Memory. In The 2nd IEEE Symposium on High-Performance Computer Architecture, February 1996.", '42'
"L. I. Kontothanassis and M. L. Scott. Using Memory-Mapped Network Interfaces to Improve the Performance of Distributed Shared Memory. In The 2nd IEEE Symposium on HighPerformance Computer Architecture, February 1996.", '42'
"L. I. Kontothanassis and M. L. Scott. Using MemoryMapped Network Interfaces to Improve t he Performance of Distributed Shared Memory. In The 2nd IEEE Symposium on High-Performance Computer Architecture, February 1996.", '42'
"David Culler, Lok Tin Liu, Richard Martin, and Chad Yoshikawa. LogP Performance Assessment of Fast Network Interfaces. IEEE Micro, pages 35-43, February 1996.", '45'
"David Culler, Lok Tin Liu, Richard Martin, and Chad Yoshikawa. LogP Performance Assessment of Fast Network Interfaces. IEEE Micro, pages 35-43, February 1996.", '45'
"D. STEIGER, R. SHARDA and B. LECLAIRE, 1992. Functional Description of a GraphBased Interface for Network Modeling (GIN), in Computer Science and Operations  Research: New Developments in their Interfaces, O.Balci, Sharda, R., Zenios, S. (Eds.),  Pe", '48'
"W. OGRYCZACK, K. STUDZINSKI, and K. ZORYCHTA, 1992. EDINET - A Network  Editor for Transshipment Problems with Facility Location, in Computer Science and Operations Research: New Developments in their Interfaces, O.Balci, Sharda, R., Zenios, S. (Eds", '51'
"N. DEAN, M., M. MEVENLAMP and C. MONMA, 1992. NETPAD: An interactive  graphics system for network modeling and optimization, pp. 231-243 in Computer   34  Science and Operations Research: New Developments in their Interfaces, O.Balci,  Sharda, R., Z", '54'
"C. V. JONES, 1992. Animated Sensitivity Analysis, in Computer Science and  Operations Research: New Developments in their Interfaces, pp. 177-196. O.Balci,  Sharda, R., Zenios, S. (Eds.), Pergamon Press, U.K.", '57'
"Chin, D. N. 1991. Intelligent Interfaces As Agents. In Sullivan, J. W., and Tyler, S. W., eds., Intelligent User Interfaces. New York, New York:ACM Press. 177-206.", '60'
"Sullivan J.W. & Tyler S.W. (editors), Intelligent User Interfaces, ACM Press, 1991.", '61'
"J.W. Sullivan and S.W. Tyler (eds.), Intelligent User Interfaces, ACM Press, NY, 1991.", '61'
"Myers, B.A. (1988) Creating user interfaces by demonstration. Academic Press, Boston. Nevill-Manning, C.G. (forthcoming) Description, prediction, production and compression of sequences. DPhil thesis, University of Waikato, New Zealand.", '63'
"Myers, B.A. (1988) Creating user interfaces by demonstration. Academic Press, Boston. Nevill-Manning, C.G. (forthcoming) Description, prediction, production and compression of sequences. DPhil thesis, University of Waikato, New Zealand.", '63'
"Ong, W.J. (1977). Interfaces of the Word: Studies in the Evolution of Consciousness and Culture. Ithaca, New York, Cornell University Press.", '66'
"G. Toussaint, B. Bhattacharya, and R. Poulsen, The application of voronoi diagrams to nonparametric decision rules, in Computer Science and Statistics: Proc. of the 16th Symposium on the Interface, L. Billard, Ed., New York, 1984, pp. 97-108, Else", '69'
"Yandell, B. (1986), Algorithms for nonlinear generalized cross-validation, in T. Boardman, ed., `Computer Science and Statistics: 18th Symposium on the Interface', American Statistical Association, Washington, DC.", '72'
"A.R. Barron and R.L. Barron. Statistical learning networks: A unifying view. In E. Wegman, editor, Computing Science and Statistics, Proceedings of the 20th Symposium Interface, pages 192-203, Washington, DC, 1988. American Statistical Association.", '75'
"A. S. Weigend and D. E. Rumelhart. The effective dimension of the space of hidden units. In Elaine Keramides, editor, Proceedings of INTERFACE'91: Computing Science and Statistics. Springer Verlag, 1992.", '78'
"L. De Raedt and N. Lavra<=c. The many faces of inductive logic programming. In J. Komorowski, editor, Proceedings of the 7th International Symposium on Methodologies for Intelligent Systems, Lecture Notes in Artificial Intelligence. Springer-Verlag,", '81'
"Dana S. Henry and Christopher F. Joerg. A TightlyCoupled Processor-Network Interface. In Proceedings of 5th International Conference on Architectur al Support for Programming Languages and Operating Systems, pages 111-122, October 1992.", '84'
"Kenneth Wauchope, Eucalyptus: An Integrated Spoken Language/Graphical Interface for Human-Computer Dialogue, Proceedings of AVIOS 92 Voice I/O Systems Applications Conference, Minneapolis, MN, 1992.", '87'
"Press, 1991.  Kenneth Wauchope, Eucalyptus: An Integrated Spoken Language/Graphical Interface for Human-Computer Dialogue, Proceedings of the Voice I/O Systems Applications Conference (AVIOS 92), Sept. 22-24,", '87'
"C. G. Thomas, G. M. Kellermann, and H.-W. Hein. X-AiD: An adaptive and knowledge-based human-computer interface. In H.-J. Bullinger and B. Shackel, editors, Proc. of Human-Computer Interaction INTERACT'87, pages 10751080, Amsterdam,", '90'
"Michael Arent, Laurie Vertelney and Henry Lieberman, Two Disciplines in Search of an Interface: Reflections on a Design Problem, in The Art of Human-Computer Interface Design, Brenda Laurel, ed., Addison-Wesley.", '93'
"Oren, T. et al. (1990) Guides: Characterizing the Interface, in The Art of Humancomputer Interface Design, ed. B. Laurel, Addison Wesley: Reading, 367-381.", '96'
"Nicholas Negroponte. Hospital corners. In Brenda Laurel, editor, The Art of Human Computer Interface Design, pages 347-353. Addison-Wesley, 1990.", '96'
"Tim Oren, Gitta Salomon, Kristee Kreitman, and Abbe Don. Guides: Characterizing the interface. In Brenda Laurel, editor, The Art of Human Computer Interface Design, pages 367-381. Addison-Wesley, 1990.", '96'
"Alan Kay. User interface: A personal view. In Brenda Laurel, editor, The Art of Human Computer Interface Design, pages 191-207. Addison-Wesley, 1990.", '99'
"Laurel, B. (1990) Interface Agents: Metaphors with Character, in The Art of Humancomputer Interface Design, ed. B. Laurel, Addison Wesley: Reading, 355-365.", '102'
"Laurel, B., Interface Agents: Metaphors with Character, in The Art of Human Computer Interface Design, B. Laurel (ed), AddisonWesley, 1990.", '102'
"Laurel, B. Interface agents: Metaphors with character. In Laurel, B. (Ed.): The art of human-computer interface design (pp. 355-365). Reading: Addison-Wesley, 1990.", '102'
"B. Laurel. Interface agents: Metaphors with character. In B. Laurel, editor, The art of humancomputer interface design, pages 355-365. AddisonWesley, 1990.", '102'
"Walker, J. et al. (1994) Using a Human Face in an Interface, in Proceedings of CHI'94 Human Factors in Computing Systems, Addison Wesley: Reading, 85-91.", '105'
"K. Weems, W. Lin, and H. Chen. Calculations of viscous nonlinear freesurface flows using an interactive zonal approach. In Proceedings of the CFD Workshop of the Ship Research Institute of Japan, 1994.", '108'
"Kristin P. Bennett. Global tree optimization: A non-greedy decision tree algorithm. In Proc. of Interface 94: The 26th Symposium on the Interface, Research Triangle, North Carolina, 1994.", '111'
"C. Chang and A. Walker, PROSQL: A Prolog Programming Interface with SQL/DS, Proc. of the 1st Intl. Workshop on Expert Database Systems, Kiawah Island, South Carolina, October 1984.", '114'
"Donald P. McKay, Timothy W. Finin, and Anthony O'Hare. The intelligent database interface: Integrating AI and database systems. In AAAI-90: Proceedings of The Eighth National Conference on Artificial Intelligence, 1990.", '117'
"Lenzmann, B., Wachsmuth, I., Cao, Y. An Intelligent Interface for a Virtual Environment. KI-NRW Report 95-01, 1995.", '120'
"B. Lenzmann, I. Wachsmuth, and Y. Cao. An intelligent interface for a virtual environment. Paper submitted to the 19th German Annual Conference on Artificial Intelligence - KI-95, September 1995.", '120'
"Rajesh P.N. Rao and Dana H. Ballard. Natural basis functions and topographic memory for face recognition. In Proceedings of the International Joint Conference on Artificial Intelligence (IJCAI), 1995. (To appear).", '123'
"Edwin P.D. Pednault. Some experiments in applying inductive inference principles to surface reconstruction. In Proc. of the Eleventh International Joint Conf. on Artificial Intelligence, pages 1603-1609, 1989.", '126'
"Edwin P.D. Pednault. Some experiments in applying inductive inference principles to surface reconstruction. In Proc. of the Eleventh International Joint Conf. on Artificial Intelligence, pages 1603-1609, 1989.", '126'
"Edwin P.D. Pednault. Some experiments in applying inductive inference principles to surface reconstruction. In Proc. of the Eleventh International Joint Conf. on Artificial Intelligence, pages 1603-1609, 1989.", '126'
"Edwin P.D. Pednault. Some experiments in applying inductive inference principles to surface reconstruction. In Proc. of the Eleventh International Joint Conf. on Artificial Intelligence, pages 1603-1609, 1989.", '126'
"Pednault, E. P. D. (1989). Some experiments in applying inductive inference principles to surface reconstruction. In 11th IJCAI, pages 1603-1609. San Mateo, CA: Morgan Kaufmann.", '126'
"E.P.D. Pednault. Some experiments in applying inductive inference principles to surface reconstruction. In Proc. 11th Int'l Joint Conf. on Artificial Intelligence, pages 16031609, Detroit, MI, 1989. Morgan Kaufmann.", '126'
"C. Caldwell and V.S. Johnston. Tracking a criminal suspect through face-space with a genetic algorithm. In R.K. Belew and L.B. Booker, editors, Proceedings of the Fourth International Conference on Genetic Algorithms, pages 416-421. Morgan Kaufm", '129'
"Upendra Shardanand and Pattie Maes. Social Information Filtering: Algorithms for Automating Word of Mouth. To appear in Proceedings of the International Conference on Computer-Human Interfaces, 1995.  34", '132'
"R. Godin, J. Gecsei & C. Pichet. Design Of A Browsing Interface For Information Retrieval. SIGIR 89 Proc. 12th Int. Conf. on Research and Development in Information Retrieval (1989)", '135'
"P. De Michelis, L. Fissore, P. Laface, G. Micca, and E. Piccolo, On the Use of Neural Networks for Speaker Independent Isolated Word Recognition, Proceedings of ICASSP-89, Glasgow - Scotland, May 1989.", '138'
"R. Cipolla and A. Blake. Surface Orientation and Time to Contact from Image Divergence and Deformation. Proc. of the Second European Conference on Computer Vision Santa Margherita Ligure, Italy, May 1992.", '141'
"R. Cipolla and A. Blake. Surface orientation and time to contact from image divergence and deformation. In G. Sandini, editor, Computer Vision|ECCV '92, pages 187-202. Springer-Verlag, 1992.", '141'
"R. Cipolla and A. Blake, Surface shape from the deformation of apparent contours, Int. J. Computer Vision, vol. 9, no. 2, pp. 83112, 1992.", '147'
"A. M. Waxman and S. Ullman. Surface structure and three-dimensional motion from image flow kinematics. The International Journal of Robotics Research, 4(3), 1985.", '150'
"How the prosodic cues in motherese might assist language learning. Journal of Child Language, 16:55-68.  Kimball, J. (1973). Seven principles of surface structure parsing in natural language. Cognition, 2(1):15-47.", '153'
"Stephanie Everett, Kenneth Wauchope, and Dennis Perzanowski, Adding Speech Recognition to a Natural Language Interface, Journal of the American Voice I/ O Society, Vol. 14 (August 1993), pp. 41-52, 1993.", '156'
"S. Everett, K. Wauchope and D. Perzanowski, Talking to InterFIS: Adding Speech Input to a Natural Language Interface, NRL report 9515, in press.", '159'
"Stephanie Everett, Kenneth Wauchope, and Dennis Perzanowski, Talking to InterFIS: Adding Speech Input to a Natural Language Interface, Technical Report NRL/FR/5510-92-9515, Naval Research Laboratory, 1992.", '159'
"Dennis Perzanowski and Brian Potter, InterFIS: a Natural Language Interface to the Fault Isolation Shell, Technical Report #9299, Naval Research Laboratory, Washington, DC, 1990.", '162'
"Wauchope, K. Eucalyptus: Integrating Natural Language Input with a Graphical User Interface. NRL Report NRL/FR/5510-94-9711 (1994).", '165'
"Minneapolis, MN, pp. 71-76.  Kenneth Wauchope, Eucalyptus: Integrating Natural Language Input with a Graphical User Interface, Naval Research Laboratory Technical Report NRL/FR/ 5510-94-9711, in press, 1994.", '165'
"S. Sankar and R. Hayes. Adl | an interface definition language for specifying and testing software. Technical Report CMU-CS-94-WIDL-1, Carnegie-Mellon University, January 1994.", '168'
"S. Sankar and R. Hayes. Adl | an interface definition language for specifying and testing software. Technical Report CMUCS-94-WIDL-1, Carnegie-Mellon University, January 1994.", '168'
"J. Jourdan, L. Dent, J. McDermott, T. Mitchell, and D. Zabowski, Interfaces that Learn: A Learning Apprentice for Calendar Management, CMU Technical Report CMU-CS-91-135, Carnegie Mellon University, 1991.", '171'
"Payne, T., and Edwards, P. 1995. Interface Agents that Learn: An Investigation of Learning Issues in a Mail Agent Interface. Technical Report AUCS/TR9508, Department of Computing Science, University of Aberdeen, Scotland. Submitted to Applied Artificial", '174'
"J. Keane. Extensions to Franz, Inc.'s Allegro Common Lisp foreign function interface. Technical Report HPCD-TR-41, Department of Computer Science, Rutgers University, 1996.", '177'
"J. Keane. Extensions to Franz, Inc.'s Allegro Common Lisp foreign function interface. Technical Report HPCD-TR-41, Department of Computer Science, Rutgers University, 1996.", '177'
"Y. Moses, S. Ullman, and S. Edelman. Generalization across changes in illumination and viewing position in upright and inverted faces. Technical Report CSTR 9314, Department of Applied Mathematics and Computer Science, The Weiz mann Institute of Sci", '180'
"M. Lando and S. Edelman. Generalizing from a single view in face recognition. Technical Report CSTR 9502, Depart  ment of Applied Mathematics and Computer Science, The Weizmann Institute of Science, Rehovot 76100, Israel, 1995.", '183'
"K. Yamada and G.W. Cottrell. A model of scan paths applied to face recognition. In Proc. 17th Annual Conf. of the Cognitive Science Society, pages 5560, 1995.", '186'
"D. Beymer and T. Poggio. Face recognition from one model view. In Proceedings of the International Conference on Computer Vision, 1995.", '189'
"D. A. Forsyth, Recognizing algebraic surfaces from their outlines, in Proc. 4th Int. Conf. on Computer Vision, pp. 476480, 1993.", '192'
"P. Giblin and R. Weiss, Reconstruction of surfaces from proles, in Proc. 1st Int. Conf. on Computer Vision, pp. 136144, 1987.", '195'
"K.N. Kutulakos and C.R. Dyer, Global surface reconstruction by purposive control of observer motion, in Proceedings: IEEE Conference on Computer Vision and Pattern Recognition, June 1994, pp. 331 - 338.", '198'
"K. N. Kutulakos, Afne surface reconstruction by purposive viewpoint control, Tech. Rep. 581, Department of Computer Sciences, University of Rochester, 1995.", '201'
"LOUNSBERY, M., DEROSE, T. D., AND WARREN, J. Multiresolution Surfaces of Arbitrary Topological Type. Department of Computer Science and Engineering 93-10-05, University of Washington, October 1993. Updated version available as 93-10-05b, January, 19", '204'
"LOUNSBERY, M. Multiresolution Analysis for Surfaces of Arbitrary Topological Type. PhD thesis, University of Washington, 1994.", '207'
"E. Catmull. A Subdivision Algorithm for Computer Display of Curved Surfaces. PhD thesis, University of Utah, December 1974. Also TR UTEC-CSc-74-133, CS Dept., University of Utah.", '210'
"Wahba, G. (1978), Interpolating surfaces: High order convergence rates and their associated designs, with applications to x-ray image reconstruction, Technical Report 523, Dept. of Statistics, University of Wisconsin, Madison, WI.", '213'
"H. Fan and M. Nayeri. On error surfaces of sufficient order adaptive IIR filters: proofs and counterexamples to a unimodality conjecture. IEEE Trans. Acoust., Speech, Signal Processing, 37(9):1436, 1989.", '216'
"LeCun, Y., Kanter, I., and Solla, S. A. (1991). Second order properties of error surfaces: Learning time and generalization. In Lippman, D. S., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 3, pages 918-92", '219'
"LeCun, Y., Kanter, I., and Solla, S. A. (1991). Second order properties of error surfaces: Learning time and generalization. In Lippman, D. S., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 3, pages 918-92", '219'
"G. Cottrell and J. Metcalfe. (1991) EMPATH: Face, emotion, and gender recognition using holons. In R. Lippmann, John Moody and D. Touretzky, editors, Advances in Neural Information Processing Systems 3, pages 564-571. Morgan Kauffmann.", '222'
"Brigham, J. C. (1986). The influence of race on face recognition. In Ellis, H. D., Jeeves, M. A., and Newcombe, F., editors, Aspects of face processing, pages 170-177. Martinus Nijhoff, Dordrecht.", '225'
"R. Seidel. Constructing higher-dimensional convex hulls at logarithmic cost per face. In Proc. 18th ACM Symposium on the Theory of Computation, pages 404-413, 1986.", '228'
"Byrd, R., Ravin, Y. and Prager, J. Lexical Assistance at the Information Retrieval User Interface. In Proceedings of the Fourth Annual Symposium on Document Analysis and Information Retrieval, Las Vegas, Nevada, April 1995.", '231'
"Roy Byrd, Yael Ravin, and John Prager. Lexical assistance at the information retrieval user interface. In Proceedings of the Fourth Annual Symposium on Document Analysis and Information Retrieval, Las Vegas, Nevada, April 1995.", '231'
"Lindberg, D., and Humphreys, B. 1990. The umls knowledge sources: Tools for building better user interfaces. In Proceedings of the 14th Annual Symposium on Computer Applications in Medical Care (SCAMC 90), 121-125.", '234'
"Pohl, W.; Hohle, J.; Fink, J.; and Kim, D.-W. 1995. Building adaptive applications on widely-used platforms with BGP-MS. In Stephanidis, C., ed., Proc. ERCIM Workshop Towards User Interfaces for All: Current Efforts and Future Trends.", '237'
"Payne, T. R.; Edwards, P.; and Green, C. L. 1995. Experience with Rule Induction and k-Nearest Neighbour Methods for Interface Agents that Learn. In ML95 Workshop on Agents that Learn from Other Agents.", '240'
"R. Cipolla, P. A. Hadfield, and N. J. Hollinghurst. Uncalibrated stereo vision with pointing for a man-machine interface. In Proc. IAPR Workshop on Machine Vision Applications, 1994.", '243'
"Collins, Robert J. (1990). CM++: A C++ interface to the Connection Machine. In Proceedings of the Symposium on Object Oriented Programming Emphasizing Practical Applications. Marist College.", '246'
"Collins, Robert J. (1990). CM++: A C++ interface to the Connection Machine. In Proceedings of the Symposium on Object Oriented Programming Emphasizing Practical Applications. Marist College.", '246'
"A. S. Tanenbaum, H. van Staveren, and J. W. Stevenson. Using peephole optimization on intermediate code. ACM Transactions on Programming Languages and Systems, 4(1):21-36, Jan. 1982.  35  A Interface Functions  In the table below, y flags those inter", '249'
"H. Senay, Fuzzy command grammars for intelligent interface design, IEEE Transactions on Systems, Man, and Cybernetics, vol. 22, no. 5, pp. 1124-1131, 1992.", '252'
"Brajinik, G.; Guida, G.; and Tasso, C. 1990. User modeling in expert man-machine interfaces: A case study in intelligent information retrieval. IEEE Transactions on Systems Man and Cybernetics 20(166-185).", '255'
"Elaine Marsh, Towards Friendlier User Interfaces for Expert Systems, Proceedings of the 1991 World Congress on Expert Systems, Pergamon Press, 1991.", '258'
"Elaine Marsh, Towards Friendlier User Interfaces for Expert Systems, Proceedings of the 1991 World Congress", '258'
"J. Alfredo Sanchez, Flavio S. Azevedo, and John J. Leggett. Paragente: Exploring the issues in agent based user interfaces. In Proceedings of the First International Conference on MultiAgent Systems (ICMAS95), pages 320327, Menlo Park, California, J", '261'
"C. Kellogg, A. O'Hare, and L. Travis, Optimizing the Rule/Data Interface in a Knowledge  Management System, in Proceedings of the 12th International Conference on Very Large Databases, Kyoto, Japan, 1986.", '264'
"Ralambondrainy, H, Demonchaux, E, and Jomier, G, Data analysis, data bases and expert systems: the common interface, in Astronomy from Large Databases: Scientific Objectives and Methodological Approaches, Murtagh and Heck (Eds.), ESO Conference and Works", '267'
