@relation "citeseer-reasoning"

@attribute reference string
@attribute class {'279', '198', '600', '603', '522', '441', '360', '606', '525', '444', '363', '282', '609', '528', '447', '366', '285', '369', '288', '3', '6', '612', '531', '450', '615', '534', '453', '372', '291', '618', '537', '456', '375', '294', '459', '378', '297', '702', '621', '540', '705', '624', '543', '462', '381', '708', '627', '546', '465', '384', '549', '468', '387', '711', '630', '714', '633', '552', '471', '390', '634', '717', '636', '555', '474', '393', '639', '558', '477', '396', '12', '399', '15', '18', '801', '720', '804', '723', '642', '561', '480', '807', '726', '645', '564', '483', '729', '648', '567', '486', '21', '489', '24', '27', '810', '813', '732', '651', '570', '816', '735', '654', '573', '492', '819', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '105', '900', '108', '903', '822', '741', '660', '906', '825', '744', '663', '582', '909', '828', '747', '666', '585', '40', '669', '42', '45', '48', '111', '114', '117', '912', '831', '750', '915', '834', '753', '672', '591', '918', '837', '594', '675', '756', '597', '678', '759', '51', '54', '57', '120', '201', '123', '204', '126', '207', '921', '840', '129', '924', '843', '681', '762', '927', '846', '684', '765', '849', '687', '768', '60', '63', '66', '69', '210', '132', '213', '135', '216', '138', '219', '852', '690', '771', '855', '774', '858', '696', '777', '699', '72', '75', '78', '300', '141', '222', '303', '144', '225', '306', '147', '228', '309', '861', '780', '864', '783', '867', '786', '789', '81', '84', '87', '150', '231', '312', '153', '234', '315', '156', '237', '318', '159', '873', '792', '876', '795', '879', '798', '90', '96', '99', '400', '402', '321', '240', '403', '324', '243', '162', '327', '165', '408', '168', '882', '885', '888', '330', '411', '333', '252', '171', '414', '336', '255', '174', '417', '339', '258', '177', '891', '894', '897', '420', '501', '342', '423', '504', '345', '264', '183', '426', '507', '185', '348', '186', '429', '189', '510', '432', '513', '354', '192', '435', '357', '276', '195', '438', '519'}


@data
"O. Raiman and J. de Kleer. A Minimality Maintenance System. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 532-538, October 1992.", '48'
"Rymon, R. 1992. Search through systematic set enumeration. In Proceedings of the Third International Conference on Principles of Knowledge Representation and Reasoning.", '51'
"Rymon, R. 1992. Search through systematic set enumeration. In Proceedings of the Third International Conference on Principles of Knowledge Representation and Reasoning.", '51'
"Rymon, R. 1992. Search through systematic set enumeration. In Proceedings of the Third International Conference on Principles of Knowledge Representation and Reasoning.", '51'
"O. Etzioni, K. Golden, and D. Weld. Tractable closed-world reasoning with updates. In Proc. 4th Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 178-189, San Francisco, CA, June 1994. Morgan Kaufmann.  33", '54'
"Etzioni, O., Golden, K., and Weld, D. 1994. Tractable closed-world reasoning with updates. In Proc. 4th Int. Conf. on Principles of Knowledge Representation and Reasoning.", '54'
"Oren Etzioni, Keith Golden, and Daniel Weld. Tractable closed world reasoning with updates. In Proceedings of 4th International Conference on Principles of Knowledge Representation and Reasoning, 1994.", '54'
"O. Etzioni, K. Golden, and D. Weld. Tractable closed-world reasoning with updates. In Proceedings of the Fourth International Conference on Principles of Knowledge Representation and Reasoning, 1994.", '54'
"O. Etzioni, K. Golden, and D. Weld. Tractable closed-world reasoning with updates. In Proc. 4th Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 178-189, June 1994.", '54'
"Sven Koenig and Reid G. Simmons. Risk-sensitive planning with probabilistic decision graphs. In Proceedings of the 4th International Conference on Principles of Knowledge Representation and Reasoning, pages 363-373, 1994.", '57'
"P. van Beek and R. Dechter. Constraint tightness versus global consistency. In Proceedings of the Fourth International Conference on Principles of Knowledge Representation and Reasoning, 1994.", '60'
"T. R. Gruber. An ontology for engineering mathematics. In Jon Doyle, Piero Torasso, & Erik Sandewall, Ed., Fourth International Conference on Principles of Knowledge Representation and Reasoning, Gustav Stresemann Institut, Bonn, Germany, Morgan Kauf", '63'
"William W. Cohen and Haym Hirsh. Learning the classic description logic: Theoretical and experimental results. In Erik Sandewall Jon Doyle and Pietro Torasso, editors, Priciples of Knowledege Representation And Reasoning. Proceedings of the Fourth Intern", '66'
"D. Gabbay and H. J. Ohlbach: Quantifier Elimination in Second-Order Predicate Logic. In B. Nebel, C. Rich, and W. Swartout, editors, Principles of Knowledge Representation and Reasoning: Proc. of the Third International Conference (KR'92), pages 425-435.", '69'
"Gabbay, D., and Ohlbach, H. J. 1992. Quantifier elimination in second-order predicate logic. In Nebel, B.; Rich, C.; and Swartout, W., eds., Principles of KnowledgeRepresentation and Reasoning: Proc. of the Third International Conference (KR'92). San Mat", '69'
"D. Gabbay and H. J. Ohlbach. Quantifier elimination in second-order predicate logic. In B. Nebel, C. Rich, and W. Swartout, editors, Principles of Knowledge Representation and Reasoning: Proc. of the Third InternationalConference (KR'92), pages 42", '69'
"D. Gabbay and H. J. Ohlbach. Quantifier Elimination in Second-Order Predicate Logic. In B. Nebel, C. Rich, and W. Swartout, editors, Principles of Knowledge Representation and Reasoning: Proc. of the Third International Confere", '69'
"R. Patil, R. Fikes, P. Patel-Schneider, D. McKay, T. Finin, T. Gruber, and R. Neches. The DARPA knowledge sharing effort: Progress report. In Principles of Knowledge Representation and Reasoning: Proceedings of the Third International Conference, No", '72'
"R. Patil, R. Fikes, P. Patel-Schneider, D. McKay, T. Finin, T. Gruber, and R. Neches. The DARPA knowledge sharing effort: Progress report. In B. Nebel, C. Rich, and W. Swartout, editors, Principles of Knowledge Representation and Reasoning: Proc. of", '72'
"R. Patil, R. Fikes, P. Patel-Schneider, D. McKay, T. Finin, T. Gruber, and R. Neches. The DARPA knowledge sharing effort: Progress report. In B. Nebel, C. Rich, and W. Swartout, editors, Principles of Knowledge Representation and Reasoning: Proceedings o", '72'
"R. S. Patil, R. E. Fikes, P. F. Patel-Schneider, D. McKay, T. Finin, T. R. Gruber, & R. Neches. The DARPA Knowledge Sharing Effort: Progress report. Principles of Knowledge Representation and Reasoning: Proceedings of the Third International Confere", '72'
"R. Patil, R. Fikes, P. Patel-Schneider, D. McKay, T. Finin, T. Gruber, and R. Neches. The DARPA Knowledge Sharing Effort: Progress Report. In Proceedings of the Third International Conference on Principles of Knowledge Representation and Reasoning,", '72'
"Patil, R.; Fikes, R.; Patel-Schneider, P.; McKay, D.; Finin, T.; Gruber, T.; and Neches, R. 1992. The DARPA knowledge sharing effort: Progress report. In Principles of Knowledge Representation and Reasoning: Proceedings of the Third International Confere", '72'
"R. Patil, R. Fikes, P. Patel-Schneider, D. McKay, T. Finin, T. Gruber, and R. Neches. The DARPA Knowledge Sharing Effort: Progress report. In B. Nebel, C. Rich, and W. Swartout, editors, Principles of Knowledge Representation and Reasoning: Proc. of", '72'
"G. Brajnik and C. Tasso. A Flexible Tool for Developing User Modeling Applications with Nonmonotonic Reasoning Capabilities. In Proc. of the Third International Workshop on User Modeling, pages 4266, Dagstuhl, Germany, 1992.", '75'
"G. Brajnik and C. Tasso. A Flexible Tool for Developing User Modeling Applications with Nonmonotonic Reasoning Capabilities. In Proc. of the Third International Workshop on User Modeling, pages 4266, Dagstuhl, Germany, 1992.", '75'
"Ohko, T., and Anzai, Y. 1995. A user friendly interface for task assignment on multiple robots by contract net negotiation with case-based reasoning. In Abridged Proc. of the 6th International Conference on Human-Computer Interaction(HCI'95), 12.", '78'
"Takuya Ohko and Yuichiro Anzai. A user friendly interface for task assignment on multiple robots by contract net negotiation with case-based reasoning. In Abridged Proc. of the 6th International Conference on Human-Computer Interaction(HCI'95), page", '78'
"T. Ohko, K. Hiraki, and Y. Anzai, Reducing communication load on contract net by casebased reasoning - extension with directed contract and forgetting -, in Proc. of ICMAS-96, pp. 244-251, 1996.", '81'
"Jaime Simao Sichman and Yves Demazeau. Exploiting social reasoning to deal with agency level inconistency. In Proceedings of the First International Conference on MultiAgent Systems (ICMAS 95), pages 352359, Menlo Park, California, June 1995. AAAI P", '84'
"Yongyuth Permpoontanalarp. Generalised prooftheory for multiagent autoepistemic reasoning. In Proceedings of the First International Conference on MultiAgent Systems (ICMAS95), pages 304 311, Menlo Park, California, June 1995. AAAI Press.", '87'
"F. Ricci and P. Avesani. Learning a local similarity metric for case-based reasoning. In Proceedings of the First International Conference on Case-Based Reasoning, Sesimbra, Portugal, 1995. Springer-Verlag.", '90'
"Ricci, F., & Avesani, P. (1995). Learning a local similarity metric for case-based reasoning. To appear in Proceedings of the First International Conference on CaseBased Reasoning. Sesimbra, Portugal: Springer-Verlag.", '90'
"Francesco Ricci and Paolo Avesani. Learning a local similarity metric for casebased reasoning. In International Conference on Case-Based Reasoning (ICCBR-95), Sesimbra, Portugal, Oct. 23-26, 1995.", '90'
"Ricci, F. and Avesani, P. (1995). Learning a local similarity metric for case-based reasoning. In Proceedings of the international conference on case-based reasoning (ICCBR-95), Sesimbra, Portugal.", '90'
"R. Bisio and F. Malabocchia. Cost Estimation of Software Projects through Case-Based Reasoning. Proc. of the 1st Int. Conf. on Case-Based Reasoning, ICCBR-95, 1995.", '96'
"Fox, S. & Leake, D.B. (1995). Modeling case-based planning for repairing reasoning failures. In Working Notes of the AAAI-95 Spring Symposium on Representing Mental States and Mechanisms. AAAI Press, March.", '99'
"P. Langley and S. Sage. Oblivious decision trees and abstract cases. In Proceedings of the 1994 AAAI Workshop on CaseBased Reasoning, pages 113-117, Seattle, CA, 1994. AAAI Press.", '102'
"Langley, P. & Sage, S. (1994b), Oblivious decision trees and abstract cases, in Working Notes of the AAAI-94 Workshop on Case-Based Reasoning, AAAI Press, Seattle, pp. 113-117.", '102'
"Langley, P., and Sage, S. 1994. Oblivious decision trees and abstract cases. In Working Notes of the AAAI94 Workshop on Case-Based Reasoning. In press.", '102'
"P. Langley, S. Sage, Oblivious Decision Trees and Abstract Cases, to be presented at the AAAI94Workshop on Case-Based Reasoning, Seattle, WA., 1994.", '105'
"D. W. Aha and R. L. Bankert. Feature selection for case-based classification of cloud types: An empirical comparison. In Proceedings of the 1994 AAAI Workshop on CaseBased Reasoning, pages 106-112, Seattle, WA, 1994. AAAI Press.", '108'
"Aha, D. W. & Bankert, R. L. (1994), Feature selection for case-based classification of cloud types: An empirical comparison, in Working Notes of the AAAI-94 Workshop on Case-Based Reasoning, pp. 106112.", '108'
"Bankert R.L. Aha D.W. Feature selection for case-based classification of cloud types: An empirical comparison. In Proceedings of the 1994 AAAI Workshop on Case-Based Reasoning, pages 106-112, 1994.", '108'
"Aha, D. W., & Bankert, R. L. (1994). Feature selection for case-based classification of cloud types: An empirical comparison. In D. W. Aha (Ed.) Case-Based Reasoning:", '108'
"T. Mohri and H. Tanaka. An optimal weighting criterion of case indexing for both numeric and symbolic attributes. In Proceedings of the 1994 AAAI Workshop on Case-Based Reasoning, pages 123-127, Seattle, WA, 1994. AAAI Press.", '111'
"Mohri, T., & Tanaka, H. (1994). An optimal weighting criterion of case indexing for both numeric and symbolic attributes. In D. W. Aha (Ed.), Case-Based Reasoning:", '111'
"H. Tanaka and S. Tsumoto. Qualitative reasoning of a temporally hierarchical system based on infinitesimal analysis. In Proc. of the Eighth International Workshop on Qualitative Reasoning about Physical Systems, pages 266275, June 1994.", '114'
"Clancy, D. J., and Kuipers, B. J. 1993. Behavior abstraction for tractable simulation. In Proceedings of the Seventh International Workshop on Qualitative Reasoning about Physical Systems.", '117'
"Rajagopalan, R. 1994. A model for integrated qualitative spatial and dynamic reasoning about physical systems. In Proceedings of the Twelfth National Conference on Artificial Intelligence.", '120'
"B. Williams and J. Cagan. Activity analysis: The qualitative analysis of stationary points for optimal reasoning. In Proceedings of the Twelfth National Conference on Artificial Intelligence, Seattle, Washington., 1994.", '123'
"Berleant, D. and Kuipers, B. 1988. Using incomplete quantitative knowledge in qualitative reasoning. In Proc. of the Sixth National Conference on Artificial Intelligence. 324-329.", '126'
"B. Kuipers, Y. Byun. A robust, qualitative method for robot spatial reasoning. In Proceedings Sixth National Conference on Artificial Intelligence AAAI-88, pp. 774-779, 1988.", '129'
"Schwartz, D. G. (1989). Outline of a naive semantics for reasoning with qualitative linguistic information. In Sridharan, N. S., editor, Proceedings of the Eleventh International Joint Conference on Artificial Intelligence, Detroit, MI, Volume 2, pages 1", '132'
"Gerhard Brewka. Preferred subtheories: An extended logical framework for default reasoning. In Proc. of the 11th International Joint Conference on Artificial Intelligence, pages 1043-1048, 1989.", '135'
"Sloman, A. (1971). Interactions between philosophy and AI | The role of intuition and non-logical reasoning in intelligence. In Proceedings of the Second International Joint Conference on Artificial Intelligence, London, UK, pages 270-278. International", '138'
"A. Sloman. Interactions between philosophy and AI | The role of intuition and nonlogical reasoning in intelligence. In Proceedings 2nd IJCAI, pages 270-278, London, 1971. Reprinted in AI (2) 1971.", '138'
"Kim, J., & Pearl, J. (1983). A computational model for causal and diagnostic reasoning in inference engines. In Proc. of the Eighth International Joint Conference on Artificial Intelligence, pp.", '141'
"Fahiem Bacchus, Adam Grove, Joseph Y. Halpern, and Daphne Koller. Statistical foundations for default reasoning. In Proceedings of the 13th International Joint Conference on Artificial Intelligence(IJCAI-93), pages 563-569, Chamber", '144'
"Donald P. McKay and Stuart C. Shapiro. Using active connection graphs for reasoning with recursive rules. In Proceedings of the Seventh International Joint Conference on Artificial Intelligence, pages 368-374. Morgan Kaufmann, S", '147'
"Alfonso Gerevini and Lenhart Schubert. Efficient temporal reasoning through timegraphs. In Proceedings of the 13th International Joint Conference on Artificial Intelligence, pages 648-654, Chambery, France, August 1993.", '150'
"Agnar Aamodt. Knowledge intensive case-based reasoning and sustained learning. In: ECAI-90; Proceedings of the ninth European Conference on Artificial Intelligence, Stockholm, August, 1990.", '153'
"Agnar Aamodt: Knowledge-Intensive Case-Based Reasoning and Sustained Learning. To appear in: Proceedings of the 9th European Conference on Artificial Intelligence, ECAI-90. Stockholm, August, 1990.", '153'
"Aamodt, A (1990), Knowledge-intensive case-based reasoning and sustained learning. Proc. ECAI-90, Stockholm.", '153'
"A. Aamodt, Knowledge-intensive case-based reasoning and learning. Proceedings of ECAI-90, Ninth European Conference on Artificial Intelligence, Stockholm (August 1990) 1-6.", '153'
"Aamodt, A. (1990). Knowledge intensive case-based reasoning and sustained learning. In ECAI-90; Proceedings of the ninth European Conference on Artificial Intelligence,, 1-6. ECCAI. Stockholm, August, 1990.", '153'
"Smyth, B., Cunningham, P. (1992) Dj Vu: A hierarchical case-based reasoning system for software design. Proceedings of the 10th European Conference on Artificial Intelligence. pages 587589. Chichester, John Wiley.", '156'
"A. R. Golding and P. S. Rosenbloom. Improving rule-based systems through Case-Based Reasoning. Proceedings AAAI-91, Menlo Park, CA, 22-27, 1991.", '159'
"A. R. Golding and P. S. Rosenbloom. Improving rule-based systems through case-based reasoning. In Proceedings of the Ninth National Conference on Artificial Intelligence, pages 22-27, Anaheim, CA, July 1991.", '159'
"U. M. Schwuttke and L. Gasser, Realtime Metareasoning with Dynamic Tradeoff Evaluation, Proceedings of the National Conference on Artificial Intelligence, San Jose, CA, July 1992, pp. 500506.", '162'
"Sacks, E. 1987. Hierarchical reasoning about inequalities. In Proceedings of the Sixth National Conference on Artificial Intelligence, 649654. Los Altos, CA: Morgan Kaufmann.", '165'
"epistemic properties. In J. Halpern, ed., Proceedings of the 1986 Conference on Theoretical Aspects of Reasoning about Knowledge, Morgan Kaufmann, Los Altos, CA, 8398.", '168'
"S. J. Rosenschein and L. P. Kaelbling. The synthesis of digital machines with provable epistemic properties. In J. Halpern, editor, Proceedings of the Conference on Theoretical Aspects of Reasoning About Knowledge, pages 83-98. Morgan Kaufmann, 1986", '171'
"S. Rosenschein and L. Kaelbling. The synthesis of digital machines with provable epistemic properties. In J.F. Halpern, editor, The 1986 Conference on Theoretical Aspects of Reasoning and Knowledge, 1987.", '171'
"Smith, B C, (1986), Varieties of self-reference. In Theoretical Aspects of Reasoning about Knowledge, p. 19-43, Morgan Kaufmann, Los Altos, CA.", '174'
"L. P. Kaelbling. An architecture for intelligent reactive systems. In Reasoning About Actions and Plans: Proceedings of the 1986 Workshop. Morgan Kaufmann, 1986.", '177'
"L. Kaelbling, An Architecture for Intelligent Reactive Systems, In Proc. 1986 Workshop on Reasoning about Actions and Plans, pp. 395-410, 1987.", '177'
"Kaelbling, L. P., 1987. An architecture for intelligent reactive systems. In M. P. Georgeff & A. L. Lansky, eds., Reasoning about Actions and Plans, Morgan Kaufmann, Los Altos, CA, 395 410.", '177'
"Pearl, J. (1988). Probabilistic Reasoning in Intelligent Systems. Morgan Kaufmann.", '183'
"Pearl, J. (1988), Probabilistic Reasoning in Intelligent Systems, Morgan Kaufmann, San Mateo, CA.", '183'
"Pearl J. (1988). Probabilistic reasoning in intelligent systems. Morgan Kaufmann.", '183'
"J. Pearl, Probabilistic Reasoning in Intelligent Systems. San Mateo CA.: Morgan Kaufmann, 1988.", '183'
"Pearl, J. (1988). Probabilistic Reasoning in Intelligent Systems. Morgan Kaufmann.", '183'
"Judea Pearl. Probabilistic Reasoning in Intelligent Systems. Morgan Kaufmann, 1988.", '183'
"J. Pearl. Probabilistic Reasoning in Intelligent Systems. Morgan Kaufmann, 1988.", '183'
"Judea Pearl. Probabilistic Reasoning in Intelligent Systems : Networks of Plausible Inference. Morgan Kaufmann, 1988.", '183'
"Pearl, J. 1988. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. San Mateo, California: Morgan Kaufmann.", '183'
"Judea Pearl. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann, 1988.", '183'
"Pearl, J. (1988). Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference, San Mateo, CA: Morgan Kaufmannn.", '183'
"Pearl, J. (1988). Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann, San Mateo, CA.", '183'
"J. Pearl, Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference, Morgan Kaufman, 1988.", '183'
"Pearl, J. (1988). Probabilistic Reasoning in Intelligent Systems : Networks of Plausible Inference. Morgan Kaufmann.", '183'
"Pearl, Judea 1988. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann, San Mateo, California.", '183'
"J. Pearl, Probabilistic Reasoning in Intelligent Systems : Networks of Plausible Inference. Morgan Kaufmann, 1988.", '183'
"Judea Pearl. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann, San Mateo, CA, 1988.", '183'
"J. Pearl, Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann Publishers, Inc. San Mateo, California, 1988.", '183'
"J. Pearl. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann, 1988.  36", '183'
"Pearl, J. 1988. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan Kaufmann, San Mateo, CA.", '183'
"J. Pearl. Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference. Morgan-Kaufmann, 1988.", '183'
"Hammond, K. (1988); Opportunistic Memory: Storing and Recalling Suspended Goals; Proceedings of the Workshop on Case-Based Reasoning (DARPA); Morgan Kaufmann Publishers, Inc., San Mateo, CA.", '185'
"J. Kolodner. Case-Based Reasoning. Morgan Kaufmann Publishers, San Mateo, CA, 1993.", '186'
"J. Kolodner. Case-Based Reasoning. Morgan Kaufmann Publishers, San Mateo, CA, 1993.", '186'
"Stanfill, C. and Waltz, D. (1988). The memory-based reasoning paradigm. In Proc. of a Workshop on Case-Based Reasoning, San Mateo CA: Morgan Kaufmann. pp: 414-424.", '189'
"Kolodner, J.L.: (Ed.) Proceedings of a Workshop on Case-Based Reasoning. Clearwater Beach, FL: Morgan Kaufmann (1988).", '192'
"Karl Branting: The role of explanations in reasoning from legal precedents. In: Janet Kolodner (ed.): Case based reasoning. Proceedings from a workshop, Clearwater Beach, Florida, May 1988. Morgan Kaufmann Publ. pp. 94-103.", '192'
"Kolodner, J.L.: (Ed.) Proceedings of a Workshop on Case-Based Reasoning. Clearwater Beach, FL: Morgan Kaufmann (1988).", '192'
"Kolodner, J.L.: (Ed.) Proceedings of a Workshop on Case-Based Reasoning. Clearwater Beach, FL:Morgan Kaufmann (1988).", '192'
"Kolodner, J.L.: (Ed.) Proceedings of a Workshop on Case-Based Reasoning. Clearwater Beach, FL: Morgan Kaufmann (1988).", '192'
